,Make,Model,Variant,Displacement,Cylinders,Fuel_Tank_Capacity,Mileage,Power,Kerb_Weight,Comfort,Safety,Price
840,Porsche,Cayenne,E-Hybrid,2995.0,6,75.0,3.4,340.0,2370.0,113.2953052321459,29.0,15806000
841,Porsche,Cayenne,Turbo,3996.0,6,90.0,16.2,550.0,2245.0,113.58054801524494,29.0,19210000
842,Porsche,Cayenne,Base,2995.0,6,75.0,19.90211704,330.31,2840.0,113.6502172139744,29.0,11936000
843,Maserati,Ghibli,Diesel,2987.0,4,70.0,19.90211704,271.15,1810.0,106.9974285613655,0.0,13387856
844,Maserati,Ghibli,Gransport,2987.0,4,70.0,19.90211704,275.0,1810.0,106.9974285613655,0.0,13881858
845,Maserati,Ghibli,Granlusso,2987.0,4,70.0,19.90211704,275.0,1810.0,106.9974285613655,0.0,14247814
846,Toyota,Land Cruiser,Vx,4461.0,8,93.0,9.0,261.29,2740.0,151.97971950439006,29.0,14699000
847,Audi,Rs7,Sportback,3993.0,8,75.0,9.8,552.16,1995.0,152.5587227334085,29.0,17072000
848,Land Rover Rover,Range,5.0L V8 Autobiography Petrol,4999.0,8,105.0,9.6,518.0,2687.0,148.38131120538606,29.0,26037526
849,Land Rover Rover,Range,5.0L V8 Svautobiography Dynamic Petrol,4999.0,8,105.0,9.6,550.188,2687.0,155.798427108351,27.0,32522000
850,Land Rover Rover,Range,3.0L V6 Vogue Lwb Petrol,2995.0,6,85.0,11.6,335.0,2687.0,152.05394341013164,26.0,19527130
851,Land Rover Rover,Range,5.0L V8 Svautobiography Lwb Petrol,4999.0,8,65.0,10.0,558.0,2330.0,153.2711134692255,27.0,40499548
852,Land Rover Rover,Range,3.0L Tdv6 Vogue Diesel,2993.0,6,49.30086207,19.90211704,254.0,990.467868338558,151.21426030017756,29.0,18185267
853,Land Rover Rover,Range,3.0L Tdv6 Vogue Lwb Diesel,2993.0,6,49.30086207,19.90211704,254.0,2687.0,150.44934572726353,26.0,19527130
854,Land Rover Rover,Range,4.4L Sdv8 Autobiography Lwb Diesel,4367.0,8,49.30086207,19.90211704,335.0,2687.0,157.44934572726353,29.0,25174051
855,Land Rover Rover,Range,4.4L Sdv8 Svautobiography Lwb Diesel,4367.0,8,49.30086207,19.90211704,335.0,990.467868338558,121.32434572726353,16.0,39294685
856,Land Rover Rover,Range,4.4L Sdv8 Vogue Se Lwb Diesel,4367.0,8,49.30086207,19.90211704,335.0,990.467868338558,137.44934572726353,27.0,23675691
857,Land Rover Rover,Range,3.0L V6 Vogue Se Lwb Petrol,2995.0,6,85.0,11.6,335.0,2687.0,134.05394341013164,26.0,21398758
858,Maserati,Grancabrio,Standard,4691.0,8,75.0,9.8,443.7,1980.0,119.63967254924461,29.0,19865675
859,Maruti Suzuki,Mercedes-Benz Amg-Gt,S,3982.0,8,75.0,7.8,502.86,1645.0,129.23211647069547,29.0,21583466
860,Maruti Suzuki,Mercedes-Benz Amg-Gt,R,3982.0,8,75.0,7.8,576.81,1630.0,129.29403335578598,29.0,23264134
861,Maruti Suzuki,Mercedes-Benz Amg-Gt,Roadster,3982.0,8,75.0,7.8,469.336,1670.0,128.70651843818024,29.0,22733626
862,Maruti Suzuki,Mercedes-Benz Amg Gt 4-Door Coupe,63 S 4Matic+,1841.323668,8,65.0,19.90211704,630.054,990.467868338558,31.192563158811783,0.0,24200000
863,Lamborghini,Huracan,Lp 610-4,5204.0,10,90.0,10.6,601.46,1422.0,110.4093555181567,26.0,37133704
864,Lamborghini,Huracan,Lp 580-2,5204.0,10,90.0,11.24,571.88,1389.0,110.4093555181567,26.0,32452486
865,Lamborghini,Huracan,Avio,5204.0,10,90.0,8.0,601.46,1422.0,110.4093555181567,26.0,35150732
