,Make,Model,Variant,Price,Engine_Size_in_cc,Fuel_Type,Fuel_Tank_Capacity,Mileage,Power,Comfort,Safety
151,Volkswagen,Polo,Gt Tsi,976000,1197.0,Petrol,45.0,17.21,103.53,44.74245535006733,27.0
152,Volkswagen,Polo,Gt Tdi,988500,1498.0,Diesel,45.0,19.91,112.404,44.699865912247915,25.0
153,Maruti Suzuki,Dzire,Lxi,582613,1197.0,Petrol,37.0,22.0,83.1198,17.909329963662362,28.0
154,Maruti Suzuki,Dzire,Vxi,673112,1197.0,Petrol,37.0,22.0,83.1198,30.909329963662362,29.0
155,Maruti Suzuki,Dzire,Ldi,666622,1248.0,Diesel,37.0,28.4,73.95,19.409329963662362,29.0
156,Maruti Suzuki,Dzire,Zxi,732113,1197.0,Petrol,37.0,22.0,83.1198,40.90932996366236,29.0
157,Maruti Suzuki,Dzire,Vdi,757622,1248.0,Diesel,37.0,28.4,73.95,30.909329963662362,29.0
158,Maruti Suzuki,Dzire,Vxi Amt,720112,1197.0,Petrol,37.0,22.0,83.1198,30.909329963662362,29.0
159,Maruti Suzuki,Dzire,Zdi Amt,863122,1248.0,Diesel,37.0,28.4,73.95,40.90932996366236,29.0
160,Maruti Suzuki,Dzire,Zdi,816622,1248.0,Diesel,37.0,28.4,73.95,40.90932996366236,27.0
161,Maruti Suzuki,Dzire,Zxi Plus,821613,1197.0,Petrol,37.0,22.0,83.1198,40.90932996366236,29.0
162,Maruti Suzuki,Dzire,Zxi At,779113,1197.0,Petrol,37.0,22.0,83.1198,40.90932996366236,29.0
163,Maruti Suzuki,Dzire,Zxi Plus Amt,868613,1197.0,Petrol,37.0,22.0,83.1198,40.90932996366236,27.0
164,Maruti Suzuki,Dzire,Zdi Plus,906122,1248.0,Diesel,37.0,28.4,73.95,43.90932996366236,29.0
165,Maruti Suzuki,Dzire,Vdi Amt,804622,1248.0,Diesel,37.0,28.4,73.95,30.909329963662362,29.0
166,Maruti Suzuki,Dzire,Zdi Plus Amt,952622,1248.0,Diesel,37.0,28.4,73.95,43.90932996366236,29.0
167,Ford,Freestyle,1.5L Tdci Ambiente,676400,1498.0,Diesel,40.0,24.4,98.6,25.2317208991682,26.0
168,Ford,Freestyle,1.5L Tdci Titanium,790900,1498.0,Diesel,40.0,24.4,98.6,43.731720899168195,27.0
169,Ford,Freestyle,1.5L Tdci Titanium Plus,836400,1498.0,Diesel,40.0,24.4,98.6,43.731720899168195,47.0
